model,precision@10,hit_rate@10,ndcg@10
Popularity,0.001,0.001,0.0003333333333333333
Content-Based,0.12474437627811862,0.12474437627811862,0.09913440502574344
Collaborative Filtering,0.355,0.355,0.29364439634827694
Hybrid (alpha=0.3),0.3619631901840491,0.3619631901840491,0.2988714233967227
