model,precision@10,hit_rate@10,ndcg@10,auc,coverage,user_coverage,diversity,evaluated_rows
Popularity,0.10519877675840979,0.10519877675840979,0.05402478520170817,0.4814477521688801,0.040381445726395106,0.8953774923456053,0.7704984950017947,35970
Profile-Based,0.12607728662774534,0.12607728662774534,0.06364704961427525,0.5451117711863799,0.06969625618083353,0.8953774923456053,0.7736473339333361,35970
Content-Based,0.23978315262718933,0.23978315262718933,0.171339181313942,0.5905577866897349,0.24393689663291734,0.8953774923456053,0.6965788333202771,35970
Collaborative Filtering,0.6241034195162636,0.6241034195162636,0.46855726943275894,0.8748069570991859,0.1477513538968684,0.8953774923456053,0.7772548174280774,35970
Hybrid (Dynamic CF-first Rerank),0.6324993049763692,0.6324993049763692,0.47358076124506543,0.8743431260181125,0.18707322816105487,0.8953774923456053,0.7618826354457721,35970
